PLAYER;TEAM;AGE;GP;G;FREQ;FGM;FGA;FG%;EFG%;2FG FREQ;2FGM;2FGA;2FG%;3FG FREQ;3PM;3PA;3P%;NONE
Jalen Suggs;ORL;22;49;49;100;4.4;9.8;44.7;55.0;46.6;2.4;4.5;51.6;53.4;2.0;5.2;38.7
Trey Murphy III;NOP;23;27;27;100;4.3;9.8;44.3;57.4;29.2;1.8;2.9;62.5;70.8;2.6;6.9;36.9
Jalen Duren;DET;20;37;37;100;6.2;9.7;63.9;63.9;99.2;6.2;9.7;64.5;0.8;0.0;0.1;0.0
Russell Westbrook;LAC;35;51;51;100;4.5;9.7;46.7;50.2;75.9;3.8;7.3;52.1;24.1;0.7;2.3;29.6
Jonas Valanciunas;NOP;31;52;52;100;5.6;9.6;57.7;60.6;83.4;5.0;8.0;62.2;16.6;0.6;1.6;35.0
Alec Burks;NYK;32;44;44;100;3.8;9.6;39.8;52.0;39.5;1.4;3.8;38.5;60.5;2.3;5.8;40.6
Naz Reid;MIN;24;52;52;100;4.7;9.5;48.8;59.0;50.8;2.7;4.8;55.9;49.2;1.9;4.7;41.4
Talen Horton-Tucker;UTA;23;33;33;100;3.9;9.5;40.8;46.8;63.1;2.7;6.0;45.5;36.9;1.1;3.5;32.7
Norman Powell;LAC;30;51;51;100;4.7;9.4;49.4;60.2;51.5;2.6;4.9;54.1;48.5;2.0;4.6;44.4
Cole Anthony;ORL;23;52;52;100;4.1;9.4;43.3;49.0;64.9;3.0;6.1;49.0;35.1;1.1;3.3;32.6
Zach Collins;SAS;26;41;41;100;4.5;9.4;47.9;52.6;66.1;3.6;6.2;58.2;33.9;0.9;3.2;27.8
Reggie Jackson;DEN;33;52;52;100;4.3;9.4;46.2;53.3;63.2;3.0;5.9;50.7;36.8;1.3;3.4;38.7
Santi Aldama;MEM;23;41;40;100;4.0;9.3;43.3;52.5;47.8;2.3;4.5;52.5;52.2;1.7;4.9;35.0
Deni Avdija;WAS;23;52;52;100;4.8;9.3;51.6;57.2;71.0;3.7;6.6;56.5;29.0;1.1;2.7;39.4
Keyonte George;UTA;20;47;47;100;3.6;9.3;38.6;47.9;44.1;1.9;4.1;45.2;55.9;1.7;5.2;33.3
Cam Whitmore;HOU;19;28;27;100;4.4;9.1;47.8;57.3;53.3;2.6;4.9;54.3;46.7;1.7;4.3;40.2
Bruce Brown;TOR;27;45;45;100;4.2;9.1;46.3;51.0;69.9;3.4;6.3;53.1;30.1;0.8;2.7;30.8
Jusuf Nurkic;PHX;29;49;49;100;4.7;9.0;51.6;54.0;81.2;4.2;7.3;57.6;18.8;0.4;1.7;25.4
Kevin Huerter;SAC;25;50;49;100;4.1;9.0;45.0;56.3;38.4;2.0;3.5;58.4;61.6;2.0;5.6;36.7
Lonnie Walker IV;BKN;25;32;32;100;4.3;9.0;47.4;59.2;45.3;2.1;4.1;52.5;54.7;2.1;4.9;43.4
Malik Beasley;MIL;27;51;51;100;4.1;8.8;46.9;63.2;27.0;1.3;2.4;52.7;73.0;2.9;6.4;44.6
Caleb Martin;MIA;28;36;35;100;4.0;8.7;45.5;52.2;63.7;2.8;5.6;50.5;36.3;1.2;3.2;36.9
Nic Claxton;BKN;24;41;41;100;5.5;8.7;62.7;62.9;98.9;5.4;8.6;63.2;1.1;0.0;0.1;20.0
Aaron Nesmith;IND;24;49;49;100;4.5;8.7;51.9;64.2;46.7;2.4;4.1;58.4;53.3;2.1;4.6;46.2
Jaden McDaniels;MIN;23;42;42;100;4.4;8.7;51.1;58.4;60.7;3.2;5.3;60.3;39.3;1.3;3.4;37.1
Corey Kispert;WAS;24;51;50;100;4.2;8.7;48.4;59.5;38.0;2.3;3.3;69.0;62.0;1.9;5.4;35.8
Tari Eason;HOU;22;22;22;100;4.0;8.6;46.6;51.3;73.5;3.2;6.3;50.3;26.5;0.8;2.3;36.1
Harrison Barnes;SAC;31;52;52;100;4.1;8.6;47.9;58.8;44.9;2.2;3.9;57.9;55.1;1.9;4.7;39.7
Isaiah Stewart;DET;22;35;35;100;4.0;8.5;47.1;55.2;57.2;2.6;4.9;54.1;42.8;1.4;3.6;37.7
Rui Hachimura;LAL;26;39;38;100;4.2;8.5;49.4;56.1;64.8;3.0;5.5;55.6;35.2;1.1;3.0;38.0
Patrick Williams;CHI;22;43;43;100;3.7;8.3;44.3;52.5;58.8;2.3;4.9;47.5;41.2;1.4;3.4;39.8
Clint Capela;ATL;29;47;47;100;4.8;8.3;58.1;58.1;100;4.8;8.3;58.1;0.0;0.0;0.0;
Luguentz Dort;OKC;24;51;51;100;3.6;8.2;43.7;55.1;41.1;1.7;3.4;50.7;58.9;1.9;4.8;38.8
Markelle Fultz;ORL;25;20;20;100;4.0;8.2;49.4;49.7;95.7;4.0;7.8;51.0;4.3;0.1;0.3;14.3
